query_index,query_track_id,query_caption,rank,retrieved_track_id,retrieved_caption_reference,similarity,is_exact_pair
3,-OAyRsvFGgc.wav,"The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.",2,aCTm1TcL7z8.wav,"The low quality recording features an electric guitar solo melody played over groovy bass guitar, shimmering tambourine, punchy kick and tinny wooden percussion. It sounds groovy, funky and passionate.",0.5740900039672852,False
3,-OAyRsvFGgc.wav,"The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.",3,qwOLhVbuhpM.wav,"This is a live recording of an instrumental electronic music beat. The rhythmic foundation of the beat consists of a simple medium tempo electronic drum beat. There are sounds coming from the background resembling a restaurant. It is a minimal-sounding groovy beat that is also danceable. With the removal of ambient sounds and a clean mix, this track could be used in the soundtrack of a TV show with an urban setting.",0.5409819483757019,False
4,-R0267o4lLk.wav,You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.,1,6Q5N1DfzGj0.wav,A lot of marimbas are being played with the same melody. Along with a bass marimba playing low notes as bassline. Maracas are providing the rhythm. This is an amateur recording. The audio-quality is not the best. This song may be playing for a live concert.,0.5784199237823486,False
4,-R0267o4lLk.wav,You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.,2,q-sJu8CoZts.wav,"A male vocalist sings this high energy Country Song. The tempo is fast with animated Banjo, fiddle, auto harp, acoustic guitar and cello. The song is cheerful, happy, enthusiastic, fervent, pulsating, buoyant and animated with vocalising and backup. This song is a spirited Country Folk Song.",0.5723086595535278,False
4,-R0267o4lLk.wav,You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.,3,XvN-qr-WYmw.wav,"The low quality, noisy recording features a live performance of a traditional song and it consists of loud synchronized percussion and bagpipe melody playing over it. It sounds soulful and passionate - like something you would hear in Scotland, as the bagpipe is their traditional instrument.",0.5706823468208313,False
5,-RYtUAsNhF0.wav,"This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.",1,XWVGQbfpA0k.wav,This is a guitar cover video. There are no vocals in this piece. The acoustic guitar is playing a mellow tune with the heavy use of arpeggios. The atmosphere is gentle and relaxing. This piece could be used as the opening theme of a teenage drama TV series. It could also be playing in the background at a coffee shop.,0.5471948385238647,False
5,-RYtUAsNhF0.wav,"This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.",2,khVk4pTS0bE.wav,"This is a soothing Italian ballad. The leading instruments are a harmonica and acoustic guitar on which arpeggios are played. The singer has a silky baritone voice, and captures the reflective and tranquil nature of the song with his performance.",0.5443241000175476,False
5,-RYtUAsNhF0.wav,"This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.",3,07FxCXxknY4.wav,This audio contains an acoustic guitar. The piece is played in fingerstyle. Meaning that the chords and the melody are played at the same time. The guitar has some reverb on it. This song may be playing live at an art gallery.,0.5402863621711731,False
6,-UuEBhule84.wav,"The low quality recording features a flat male vocal singing over acoustic rhythm guitar chords, after which that same vocal is talking. The song sounds passionate, while the recording, overall, is noisy and in mono.",1,NjoKxRwQxCE.wav,This clip features a male voice in a narrative voice. This is accompanied by a synth sound using a ring modulator effect. The voice is calming. This song can be played in a documentary movie. There is no vocal melody in this song. There are no other instruments in this clip.,0.6543256044387817,False
6,-UuEBhule84.wav,"The low quality recording features a flat male vocal singing over acoustic rhythm guitar chords, after which that same vocal is talking. The song sounds passionate, while the recording, overall, is noisy and in mono.",2,oxhFIoExrMk.wav,A male Latin singer sings this romantic melody. The song is medium tempo with an acoustic guitar accompaniment with no other instrumentation. The song is emotional and passionate. The audio quality is poor.,0.6333144903182983,False
6,-UuEBhule84.wav,"The low quality recording features a flat male vocal singing over acoustic rhythm guitar chords, after which that same vocal is talking. The song sounds passionate, while the recording, overall, is noisy and in mono.",3,g4xhZgKwiNo.wav,"A male vocalist sings this classic song. The tempo is slow with guitar accompaniment. The song has minimal instruments and is mellow, soft, sentimental, emotional, nostalgic, calming, soothing and mellifluous with vocal emphasis. This song is classic pop.",0.6246380805969238,False
7,-bgHkxwoliw.wav,Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.,1,EHm7vLZewS0.wav,"A female vocalist sings this melodic Soft Rock. The tempo is medium with intense electric guitar harmony, keyboard accompaniment, synthesiser arrangements, steady drumming and subtle bass. The vocals are soft and melodic . The song is passionate, emotional, euphonious, simple, fresh and pleasant. This song is contemporary soft rock.",0.6135502457618713,False
7,-bgHkxwoliw.wav,Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.,2,tJHFSRTPyew.wav,"A female vocalist sings this spirited pop. The tempo is  medium fast with percussion accompaniment like congas, bongos and drums , tambourine beats,along with amplified flute like the Ney and rhythmic oud. The music is catchy, youthful, groovy, breezy, romantic, pleasant and spirited. This music is contemporary Folk Pop.",0.5901119112968445,False
7,-bgHkxwoliw.wav,Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.,3,ZkmtfBzpQlI.wav,This song contains a male voice rapping over an instrumental containing a drumbeat with a sub bass. A brass sample is playing a melody also used as a rhythmic element. An organ is panned to the right side of the speakers. Other sound samples such as a male voice singing a melody are being used. This song may be playing loud when having or needing a good elevating mood.,0.5831611156463623,False
8,-i9gpG3vPwA.wav,"This audio clip is an electronic instrumental of two different tracks with medium fast tempo. The first tempo has an amplified piano playing an emphatic harmony along with digital drums. The second track has emphatic digital drums and electronic /synthesised music arrangement. Both the tracks are melodious, pleasant, harmonic, futuristic, captivating and engaging with a dance groove.",1,hlbjpc48Vrs.wav,The recording starts with a synth pad sound in the higher register and also with a tunes airy sounds slowly pitching down. Then a separate techno song starts playing with a monotone digital drum groove. The kick is overdriven and has some punch to it. The fast hihat sounds are panned to the left and right side of the speakers. This song may be playing in a night club.,0.521125316619873,False
8,-i9gpG3vPwA.wav,"This audio clip is an electronic instrumental of two different tracks with medium fast tempo. The first tempo has an amplified piano playing an emphatic harmony along with digital drums. The second track has emphatic digital drums and electronic /synthesised music arrangement. Both the tracks are melodious, pleasant, harmonic, futuristic, captivating and engaging with a dance groove.",2,JC41M7RPSec.wav,"This recording is full of environmental sounds. Birds singing, wind going, someone walking through water and water-dripping sounds. At the end a strongly reverbed kalimba starts playing a melody.
The whole thing sounds relaxing and would fit good into a documentary or a meditation session guided by sounds of nature.",0.4986562132835388,False
8,-i9gpG3vPwA.wav,"This audio clip is an electronic instrumental of two different tracks with medium fast tempo. The first tempo has an amplified piano playing an emphatic harmony along with digital drums. The second track has emphatic digital drums and electronic /synthesised music arrangement. Both the tracks are melodious, pleasant, harmonic, futuristic, captivating and engaging with a dance groove.",3,ZaUaqnLdg6k.wav,This song contains electronic drums that sound overdriven with an aggressive kick and clap sounds as snare. A male choir sample is singing a chord melody with breaks in-between. The whole thing sounds urban and epic as if something heroic is happening.,0.47510260343551636,False
9,00M9FhCet6s.wav,This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords accenting the strums in between lines. The bass plays the root notes of the chords with a reggae feel. The keyboards play chords in the background. This song can be played at a children's party.,1,pKDnn0CBIe0.wav,This song is an instrumental. The tempo is medium with an animated keyboard harmony and vocalisation. The music is heavily synthesised and sounds like a children’s song. This song is an electronic pop/ Children’s song.,0.6379857063293457,False
9,00M9FhCet6s.wav,This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords accenting the strums in between lines. The bass plays the root notes of the chords with a reggae feel. The keyboards play chords in the background. This song can be played at a children's party.,2,r5xTmK2Fq1w.wav,"The low quality recording features a reggae song that consists of flat male vocals, alongside filtered, echoing male vocal and doubling background vocals, singing over punchy kick and snare hits, energetic crash cymbals, tinny wooden percussions, groovy bass and synth keys chords. It sounds energetic, as it is upbeat and addictive, thanks to the cadence.",0.6117681264877319,False
9,00M9FhCet6s.wav,This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords accenting the strums in between lines. The bass plays the root notes of the chords with a reggae feel. The keyboards play chords in the background. This song can be played at a children's party.,3,ZkmtfBzpQlI.wav,This song contains a male voice rapping over an instrumental containing a drumbeat with a sub bass. A brass sample is playing a melody also used as a rhythmic element. An organ is panned to the right side of the speakers. Other sound samples such as a male voice singing a melody are being used. This song may be playing loud when having or needing a good elevating mood.,0.6086390018463135,False
